Date,Event_Description,Category
2014-06-20,Rise of ISIS in Iraq,Conflict
2015-07-14,JCPOA (Iran Nuclear Deal) Signed,Diplomacy
2016-11-30,OPEC agrees to first production cut since 2008,OPEC Policy
2017-05-25,OPEC extends production cuts,OPEC Policy
2018-05-08,US withdrawal from Iran Nuclear Deal,Sanction
2019-09-14,Attack on Saudi Aramco facilities,Conflict
2020-03-06,Russia-Saudi oil price war,OPEC Policy
2020-04-20,WTI futures crash (negative pricing),Economic Shock
2021-01-01,Global COVID-19 vaccination rollout,Economic Recovery
2022-02-24,Russian invasion of Ukraine,Conflict
2022-03-08,US bans Russian oil imports,Sanction
2022-06-01,EU agrees to partial embargo on Russian oil,Sanction
